@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute outputs-1 {0,1,2,3}

@data
108,'2025/11/30 17:25:41:165',1,0.129843,0.222539,-0.647122,4.625256,-10.636081,-1.514971,0.448093,-1.17759,-1.372566,1
109,'2025/11/30 17:25:41:180',1,-0.157493,0.02619,-0.573132,6.520087,-13.811478,-2.636394,0.541548,-1.717601,-1.158315,1
110,'2025/11/30 17:25:41:199',1,-0.157493,0.02619,-0.573132,6.520087,-13.811478,-2.636394,0.541548,-1.717601,-1.158315,1
111,'2025/11/30 17:25:41:213',1,-0.442641,-0.082103,-0.457477,6.967443,-13.871876,-3.898444,0.54438,-2.272843,-0.895482,1
112,'2025/11/30 17:25:41:229',1,-0.442641,-0.082103,-0.457477,6.967443,-13.871876,-3.898444,0.54438,-2.272843,-0.895482,1
113,'2025/11/30 17:25:41:246',1,-0.637309,-0.047541,-0.219594,6.14336,-12.184467,-5.497151,0.43382,-2.876648,-0.595814,1
114,'2025/11/30 17:25:41:263',1,-0.637309,-0.047541,-0.219594,6.14336,-12.184467,-5.497151,0.43382,-2.876648,-0.595814,1
115,'2025/11/30 17:25:41:279',1,-0.863356,0.340103,0.44485,1.47052,-9.210443,-7.27104,0.292848,2.939377,-0.348523,1
116,'2025/11/30 17:25:41:298',1,-0.863356,0.340103,0.44485,1.47052,-9.210443,-7.27104,0.292848,2.939377,-0.348523,1
117,'2025/11/30 17:25:41:312',1,-0.261365,0.510979,0.410344,-1.927001,-4.155979,-7.087362,0.231658,2.685553,-0.124665,1
118,'2025/11/30 17:25:41:332',1,-0.261365,0.510979,0.410344,-1.927001,-4.155979,-7.087362,0.231658,2.685553,-0.124665,1
119,'2025/11/30 17:25:41:347',1,0.76629,0.753883,0.498267,-3.517747,-3.471682,-3.495048,0.218321,2.515788,0.098599,1
120,'2025/11/30 17:25:41:363',1,0.76629,0.753883,0.498267,-3.517747,-3.471682,-3.495048,0.218321,2.515788,0.098599,1
121,'2025/11/30 17:25:41:379',1,0.539668,0.955358,0.325444,-4.391803,-3.036581,-0.792564,0.273102,2.382522,0.221543,1
122,'2025/11/30 17:25:41:397',1,0.539668,0.955358,0.325444,-4.391803,-3.036581,-0.792564,0.273102,2.382522,0.221543,1
123,'2025/11/30 17:25:41:413',1,0.071027,0.838494,0.223578,-4.873846,-3.068619,-0.039907,0.37486,2.23776,0.357946,1
124,'2025/11/30 17:25:41:429',1,0.071027,0.838494,0.223578,-4.873846,-3.068619,-0.039907,0.37486,2.23776,0.357946,1
125,'2025/11/30 17:25:41:447',1,-0.049655,0.886269,0.190967,-5.315091,-2.966059,0.498828,0.476397,2.062356,0.516451,1
126,'2025/11/30 17:25:41:463',1,-0.049655,0.886269,0.190967,-5.315091,-2.966059,0.498828,0.476397,2.062356,0.516451,1
127,'2025/11/30 17:25:41:480',1,0.34933,1.166468,0.258097,-6.895565,-1.825513,2.762638,0.603021,1.871864,0.720219,1
128,'2025/11/30 17:25:41:496',1,0.34933,1.166468,0.258097,-6.895565,-1.825513,2.762638,0.603021,1.871864,0.720219,1
129,'2025/11/30 17:25:41:514',1,0.587732,1.513413,0.271233,-9.527729,-0.137595,5.809434,0.802399,1.623855,1.052565,1
130,'2025/11/30 17:25:41:530',1,0.587732,1.513413,0.271233,-9.527729,-0.137595,5.809434,0.802399,1.623855,1.052565,1
131,'2025/11/30 17:25:41:546',1,0.634507,2.142039,0.117007,-11.665175,1.1615,7.937235,0.960828,1.208741,1.604738,1
132,'2025/11/30 17:25:41:563',1,0.634507,2.142039,0.117007,-11.665175,1.1615,7.937235,0.960828,1.208741,1.604738,1
133,'2025/11/30 17:25:41:580',1,0.984465,2.794368,-0.423548,-11.734419,0.879709,10.373309,0.922173,0.501463,2.517728,1
134,'2025/11/30 17:25:41:596',1,0.984465,2.794368,-0.423548,-11.734419,0.879709,10.373309,0.922173,0.501463,2.517728,1
135,'2025/11/30 17:25:41:613',1,1.283743,2.840932,-1.1768,-7.196989,-0.342368,14.35819,0.685463,-0.024214,-3.046718,1
136,'2025/11/30 17:25:41:630',1,1.283743,2.840932,-1.1768,-7.196989,-0.342368,14.35819,0.685463,-0.024214,-3.046718,1
137,'2025/11/30 17:25:41:646',1,0.488844,3.424647,-1.254117,-5.240219,3.784326,17.413704,0.428617,-0.264341,-2.518278,1
138,'2025/11/30 17:25:41:663',1,0.488844,3.424647,-1.254117,-5.240219,3.784326,17.413704,0.428617,-0.264341,-2.518278,1
139,'2025/11/30 17:25:41:679',1,-1.945195,3.347451,-0.929867,-6.557254,6.583493,13.067391,0.084597,-0.184092,-1.993742,1
140,'2025/11/30 17:25:41:696',1,-1.945195,3.347451,-0.929867,-6.557254,6.583493,13.067391,0.084597,-0.184092,-1.993742,1
141,'2025/11/30 17:25:41:713',1,-3.054871,0.261114,-1.683604,1.096736,-7.025168,0.195836,-0.054801,-0.172064,-1.80139,1
142,'2025/11/30 17:25:41:730',1,-3.054871,0.261114,-1.683604,1.096736,-7.025168,0.195836,-0.054801,-0.172064,-1.80139,1
143,'2025/11/30 17:25:41:748',1,-0.972101,-0.044173,-1.346667,2.465181,-3.78092,-0.007771,0.017916,-0.373921,-1.795232,1
144,'2025/11/30 17:25:41:763',1,-0.972101,-0.044173,-1.346667,2.465181,-3.78092,-0.007771,0.017916,-0.373921,-1.795232,1
145,'2025/11/30 17:25:41:779',1,-0.576281,-0.110239,-0.234712,0.245444,2.836351,1.646544,0.044607,-0.357914,-1.740817,1
