@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute drumOut-1 numeric

@data
437,'2025/12/01 11:22:12:152',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
438,'2025/12/01 11:22:12:168',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
439,'2025/12/01 11:22:12:183',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
440,'2025/12/01 11:22:12:201',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
441,'2025/12/01 11:22:12:216',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
442,'2025/12/01 11:22:12:236',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
443,'2025/12/01 11:22:12:249',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
444,'2025/12/01 11:22:12:269',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
445,'2025/12/01 11:22:12:284',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
446,'2025/12/01 11:22:12:302',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
447,'2025/12/01 11:22:12:317',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
448,'2025/12/01 11:22:12:335',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
449,'2025/12/01 11:22:12:350',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
450,'2025/12/01 11:22:12:367',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
451,'2025/12/01 11:22:12:382',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
452,'2025/12/01 11:22:12:400',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
453,'2025/12/01 11:22:12:418',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
454,'2025/12/01 11:22:12:433',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
455,'2025/12/01 11:22:12:451',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
456,'2025/12/01 11:22:12:469',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
457,'2025/12/01 11:22:12:485',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
458,'2025/12/01 11:22:12:502',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
459,'2025/12/01 11:22:12:518',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
460,'2025/12/01 11:22:12:534',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
461,'2025/12/01 11:22:12:551',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
462,'2025/12/01 11:22:12:565',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
463,'2025/12/01 11:22:12:583',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
464,'2025/12/01 11:22:12:601',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
